City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,67.33,72,98,10.54,AU,1675725361
1,alice springs,-23.7,133.8833,76.55,31,75,6.91,AU,1675725154
2,tuktoyaktuk,69.4541,-133.0374,-40.0,67,75,0.0,CA,1675725386
3,punta arenas,-53.15,-70.9167,57.31,77,75,11.5,CL,1675725357
4,huilong,31.8111,121.655,44.92,89,100,9.6,CN,1675725383
5,souillac,-20.5167,57.5167,75.58,94,75,6.91,MU,1675725362
6,qaanaaq,77.484,-69.3632,-18.62,98,100,3.65,GL,1675725353
7,albany,42.6001,-73.9662,31.73,69,84,1.01,US,1675725412
8,ushuaia,-54.8,-68.3,47.23,99,100,1.32,AR,1675725154
9,kiama,-34.6833,150.8667,73.0,91,96,3.27,AU,1675725569
10,nexo,55.0607,15.1306,33.89,79,6,11.43,DK,1675725569
11,new norfolk,-42.7826,147.0587,64.92,43,6,5.01,AU,1675725117
12,rikitea,-23.1203,-134.9692,79.34,74,65,10.42,PF,1675725105
13,tiksi,71.6872,128.8694,-31.63,100,89,4.72,RU,1675725360
14,grindavik,63.8424,-22.4338,32.47,74,75,25.32,IS,1675725399
15,dikson,73.5069,80.5464,-23.15,100,100,5.53,RU,1675725343
16,cape town,-33.9258,18.4232,74.37,84,59,11.99,ZA,1675725304
17,ancud,-41.8697,-73.8203,60.78,71,0,2.13,CL,1675725344
18,geraldton,-28.7667,114.6,68.41,77,100,8.05,AU,1675725552
19,jamestown,42.097,-79.2353,31.01,95,100,4.61,US,1675725368
20,hermanus,-34.4187,19.2345,71.8,93,30,5.44,ZA,1675725103
21,vaini,-21.2,-175.2,78.96,94,75,3.44,TO,1675725355
22,kapaa,22.0752,-159.319,80.92,81,40,11.5,US,1675725380
23,saint-philippe,-21.3585,55.7679,76.59,86,88,10.63,RE,1675725366
24,east london,-33.0153,27.9116,74.73,84,23,15.28,ZA,1675725318
25,hobart,-42.8794,147.3294,65.26,54,40,10.36,AU,1675725306
26,port-gentil,-0.7193,8.7815,78.76,94,40,4.61,GA,1675725521
27,victoria,22.2855,114.1577,68.95,89,92,3.0,HK,1675725249
28,damietta,31.4165,31.8133,49.89,67,96,23.04,EG,1675725801
29,hithadhoo,-0.6,73.0833,81.27,70,77,11.3,MV,1675725340
30,ribeira grande,38.5167,-28.7,56.77,75,87,21.0,PT,1675725235
31,tuatapere,-46.1333,167.6833,57.99,87,93,10.96,NZ,1675725528
32,guerrero negro,27.9769,-114.0611,64.38,50,98,20.36,MX,1675725112
33,bluff,-46.6,168.3333,57.88,82,91,30.82,NZ,1675725100
34,mataura,-46.1927,168.8643,63.3,64,70,8.81,NZ,1675725324
35,pyshma,56.9523,63.2513,12.38,96,100,4.81,RU,1675725804
36,mar del plata,-38.0023,-57.5575,71.1,73,40,14.0,AR,1675725083
37,khatanga,71.9667,102.5,-41.48,100,56,3.09,RU,1675725325
38,yellowknife,62.456,-114.3525,-5.28,77,75,5.75,CA,1675725356
39,melk,48.2274,15.3319,22.17,85,4,2.51,AT,1675725805
40,erice,38.037,12.5865,39.67,87,20,3.44,IT,1675725805
41,mogadishu,2.0371,45.3438,76.59,85,60,18.57,SO,1675725638
42,poso,-1.3959,120.7524,76.35,86,97,3.71,ID,1675725806
43,lompoc,34.6391,-120.4579,65.7,52,20,20.71,US,1675725287
